title,description,company,created_date
Ground Operations Manager,"Ground Operations Manager Key Job Purpose Deliver superlative customer experience through smooth order execution lifecycle. Roles & Responsibilities: Responsible for day to day ground fulfilment operations across various customers in the assigned geography and ensure delivery of superior customer service, thereby establishing BlackBuck as the partner of choice for customers Develop a consistent and high-quality supply partner network in the specific geography for various customer requirements of lane and truck type for driving a profitable placement of trucks against regular business orders Manage the complete life-cycle of supply partner acquisition, onboarding, regular service, and retention to drive higher margins and customer serviceability for BlackBuck Proactive customer communication by sharing continuous update reports, troubleshooting operational issues and building an excellent working relationship with customer POCs in the specific region Driving smooth operations and efficiencies through cross-functional collaboration with business development, supply, and central operations team for real-time resolution of customer issues arising from ground fulfillment Build an energized and productive procurement and fulfillment team in the region Requisites / Prerequisites: Education: Any Graduate Work Experience: 3-5 years of experience Specifications: Relevant experience in managing large scale geographically spread and complex operational activity with experience in vendor development and team management. Exposure to handling logistics operations will be an added advantage Interested in this position? Send your CV to careers@blackbuck.com",Nirmal Lifestyles,1 week ago
Demand Manager,"Demand Manager Key Job Purpose Drive and manage P&L responsibility of SME business in a specific region. Roles & Responsibilities: Lead the complete cycle of new SME shipper acquisition, contract negotiations, onboarding and service delivery Manage day to day fulfilment through the operations team - Placement for various contracted lanes, Process adherence and drive the quality metrics on various operational workflows Drive the collections of outstanding revenue from customers across the region and managing the working capital cash flows effectively Responsible and accountable for the overall targets for the specific geography - Revenue, Profitability, and Cash Flow DSO Handle customer escalations and operational workflows collaborating with cross-functional stakeholders - Supply, Operations and Credit Control teams Build and manage a team of high performing sales, operations and collections associates present across the assigned geography Requisites / Prerequisites: Education: MBA Work Experience: 3-6 years Experience in SME B2B Sales across a large geographical area is mandatory. Candidate must have prior experience in managing and driving results through large teams spread geographically. Willingness to travel for about 7-10 days per month Interested in this position? Send your CV to careers@blackbuck.com",BlackBuck,6 days ago
Area Supply Manager,"Area Supply Manager Key Job Purpose Lead the acquisition and retention of consistent, reliable and high-quality Fleet Owner supply in the specific geography. Roles & Responsibilities: Design and manage outreach and discovery initiatives for the fleet owners across the geography Lead the complete cycle of new fleet owner acquisition, onboarding, consistent service and experience delivery, and retention Expand the supply funnel through alternate sales channels of operator program and referral initiatives Design and drive key initiatives in specific geography focused on increasing penetration of existing Fleet Owners’ truck portfolio Build and manage a team of high performing supply associates for acquisition and retention present across the assigned geography Requisites / Prerequisites: Education: MBA Work Experience: 3-6 years Experience in driving large-scale customer acquisition in mandatory. Also, the candidate should have experience in managing a large, geographically spread FOS sales team Candidates with experience in OEM Truck Dealerships, Truck Finance and Insurance segment exposure will be preferred Interested in this position? Send your CV to careers@blackbuck.com",Bluestone,2 hours ago
"Business Development Manager, Corporate Business","Business Development Manager, Corporate Business Key Job Purpose Responsible to lead business development efforts and drive P&L for a set of large customers in a particular industry segment. Roles & Responsibilities: Lead the complete cycle of business acquisition, service delivery and business expansion for a set of key customer accounts Revenue pipeline management through the increase of wallet share with existing customers and through the acquisition of new customers in the defined industry segment Proactively build and maintain trusted client relationships through an effective solution and ensuring the delivery of high-quality service Strategically formulate account plan to provide clients’ needs-based solutions, structure appropriate business mix and ensure the targeted profitability for each account within the permissible credit limit Partner effectively with internal stakeholders to deliver effective client solutions Requisites / Prerequisites: Experience range: 1-4 years (post-MBA) Educational Qualification: MBA from a Tier 1 institute Experience in Business Development and client servicing in any industry, B2B preferred Interested in this position? Send your CV to careers@blackbuck.com",Housing.com,2 months ago
"Category Manager, Services Platform","Category Manager, Services Platform Key Job Purpose Drive P&L responsibility for the specific category of offerings. Roles & Responsibilities: Creation of product offering focussing on the customer value proposition and business synergies. Creation and roll out of “Go-to-market” Strategy for the category Liaison with the product team to develop and continuously evolve the right product offering on the platform Responsible for Principle partner identification, onboarding and ongoing relationship management Set up governance mechanism and work closely with various sales channels i.e. Feet-on-street, Digital Sales etc. to drive revenue numbers for the category Conceptualize and run various initiatives pertaining to the category to increase the wallet share with regards to the overall potential of the customers Manage relationship with internal and external stakeholders to drive various enhancements focussing on building a profitable category Requisites / Prerequisites: Experience range: 3-7 Years (post-MBA) Educational Qualification: MBA from a Tier 1 institute Consulting experience in tier 1 consulting firms OR Category Management in e-Commerce / FMCG Company Interested in this position? Send your CV to careers@blackbuck.com",Milaap.org,1 months ago
"Area Sales Manager, Services Platform","Area Sales Manager, Services Platform Key Job Purpose Leading the business development activities for Services Platform offerings in the specific region/state. Roles & Responsibilities: Mapping market potential with regard to existing or upcoming offerings in the region Responsible for the achievement of the key business financial metrics for the region Lead the complete cycle of new customer acquisition, onboarding and service delivery Build and manage a team of high performing sales associates Relationship management & troubleshooting issues for on boarded customers Drive key initiatives pertaining to the launch of new categories or improving the performance of any specific category in the market Share key insights regarding customer experience and market adoption of new offerings in the respective region with the Category and Product teams Drive marketing activities in the region with a view of strengthening the brand of brand Blackbuck and increase market penetration Requisites / Prerequisites: Experience Range: of 3 - 8 Years Educational Qualification: MBA Experience in managing a large field sales team and high growth trajectories for business. Sales Experience in OEM Truck Dealerships, Truck Finance and Insurance companies, Tyre segment is an added advantage Interested in this position? Send your CV to careers@blackbuck.com",Nirmal Lifestyles,just now
Copy Writer,Create alternate taglines for all the 6 big banners currently running on the homepage,Healthkart,1 week ago
MySQL DBA,"As Data Base Administrator (MySQL), you will be responsible for monitoring, managing, and scaling Shopclues.com production databases, implement sharding, clustering, load balancing to deliver world class scalability, performance and reliability. You will be working with engineers, architects, infrastructure teams, testing teams and senior management.",Droom,2 months ago
"Sr. Software engineer (PHP, MySQL)","As Software Engineer, you will be working with cutting edge product development using PHP, MySQL, memcache, varnish, and other open source technologies to deliver highly scalable enterprise class application. In this role you will be responsible for driving high visibility and high impact projects from start to finish. You will be responsible of handling all the key aspects of product development such as technical design of the feature, implementing highly scalable systems, work/lead other engineers to complete the product development, research, prototype, implement new technologies & concepts, etc.",Eternal Heart Care Center,1 months ago
VP - Engineering,"If you’re looking for an exciting, results-driven, growth-oriented role that calls upon all the skills and experience you have in the locker, then please read on. The VP Engineering roleinvolves you to serve as a facilitator and mentor, providing leadership for the hardest-to-crack projects. You will naturally work towards operational efficiency programs that help the team achieve their growth objectives.You will gain practical leadership, operations and commercial skills which will pave the way for a breadth of senior-level management positions. Are you a technical visionary, with not only a stellar technical background, but also intrinsic management skills? If so, then join us in the journey to become an excellent, pioneering product company. An ideal candidate will possess the following skills: 8-14years of relevant work experiencein technology background Prior experience in Consumer Internet is highly preferred Self-disciplined and capable of identifying and completing critical tasks independently and with a sense of urgency. Responsibility and ownership of key deliverables for performance and quality Focus on details of software design, implementation and debugging Maintenance and constant improvement in software quality, along with the ability to motivate and mentor the development team to push the envelope consistently Manage multiple projects across a wide breadth of technologies, coordinate dependencies and interactions with other teams and external partners Responsible for training and grooming technical and management leaders within your group Develop roadmaps for system and product growth, and then ensure timely execution and quality delivery Closely monitor and guide product releases and updates Ability to deliver and maintain complex systems Represent your team to the senior leadership Define a vision of excellence and implement it Strong grasp of full stack networking, scalable web back-end, and all genres of platforms technologies (mobile and desktop) Solid understanding of business processes and the application of technology to implement and thereafter streamline them Strong leadership and communication skills Ability to collaborate across departments Desire to make impact and high work ethics",Housing.com,1 week ago
Team Lead - Software Engineering (PHP),"Want to be part of the most disruptive, innovative mobile commerce start-up in India with world-class team, long-term vision, and top global investors backing it up? Don’t just dream it. droom it! As Team Lead, you will be working with cutting edge technology and product development using PHP/MVC framework either Laravel or Symfony (preferably Laravel) and other open source technologies to deliver highly scalable enterprise class application. In this role you will be responsible for driving high visibility and high impact projects from start to finish. You will be responsible of handling all the key aspects of platform and product development such as technical design of the feature, implementing highly scalable systems, work/lead other engineers to complete the product development, research etc. An ideal candidate will possess following: 5+ years of experience developing E-Commerce/consumer internet technologies using PHP/MVC framework either Laravel or Symfony (preferably Laravel) Experience in developing Web services, preferable in Rest/Soap Rich experience in databases including MYSQL and non-SQL databases such as MongoDB Experience with GIT/SVN management and maintenance of code base and deployment using the same. Exposure UNIX/LINUX development environment. Exposure in building scalable and high availability systems would be beneficial ad experience in following is preferred: Apache/Nginx, Memcache, Redis, Solar, Varnish, etc. Strong hold of key concepts of Javascript and basic libraries like JQuery. Working knowledge of the mobile landscape, architectures, trends, and emerging technologies Proficiency in Client Server Model is a huge plus JavaScript/HTML5/CSS/XML Attention to detail and ability to conceptualize a concept Project Management and people management skills preferred Result oriented and ready to take ownership This role requires working directly with senior management team",BlackBuck,2 months ago
Senior Software Design Engineer,"Want to be part of the most disruptive, innovative mobile commerce start-up in India with world-class team, long-term vision, and top global investors backing it up? Don’t just dream it. droom it ! As an engineering resource at droom, you will work on new challenges on daily basis, you will focus on problem solving, and you will interact with our Silicon Valley based technology team on a regular basis. We will operate in world-class and very fast-paced engineering environment and you will be learning new things and making huge impact at the same time. An ideal candidate will possess following: 3+ years of experience in developing E-Commerce/consumer internet technologies using PHP/MVC framework. Hands on with Laravel Framework. Should be expert in Blade templating engine. Should have good understanding of REST APIs. Hands on writing W3C compatible HTML and CSS. Should have experience in solving cross browser issues for CSS/JS. Hands on with Twitter Bootstrap Framework. Good in minimizing CSS and JS files using some tools like Grunt. Experience with GIT management and maintenance of code base and deployment using the same. Exposure UNIX/LINUX development environment. Strong hold of key concepts of JavaScript and basic libraries like JQuery. Attention to detail and ability to conceptualize a concept. Project Management and people management skills preferred. Ability to collaborate across departments. Result oriented and ready to take ownership. Desire to make impact and high work ethics. This role requires working directly with senior management team",Adinath Agro,2 hours ago
"Software Design Engineer (PHP, MYSQL)","Want to be part of the most disruptive, innovative mobile commerce start-up in India with world-class team, long-term vision, and top global investors backing it up? Don’t just dream it. droom it ! As an engineering resource at droom, you will work on new challenges on daily basis, you will focus on problem solving, and you will interact with our Silicon Valley based technology team on a regular basis. We will operate in world-class and very fast-paced engineering environment and you will be learning new things and making huge impact at the same time. An ideal candidate will possess following: 1-3 years of experience developing E-Commerce/consumer internet technologies using PHP, Apache/Nginx, Memcache, Redis, Solar, Varnish, etc. At least 1+ years of hands-on experience in jQuery, Core PHP, Advanced JavaScript, AJAX, XML, and Web Services. At least 1 years of hands-on experience in live projects Strong understanding of Core PHP and frameworks like Laravel / Codiegniter / YII / Symphony Hands on experience on MVC Pattern and template engines. Knowledge of fundamentals like traits, namespace, OOPS, interfaces will be preferred. Ability to do hands-on coding and pro-actively drive emphasis on quality, maintainable code. Strong knowledge of Unix /Linux command lines. Attention to detail and ability to conceptualize a concept.",Proptiger,1 week ago
Lead MySQL DBA,"Want to be part of the most disruptive, innovative mobile commerce start-up in India with world-class team, long-term vision, and top global investors backing it up? Don’t just dream it. droom it ! As Lead MySQL DBA, you will be responsible for monitoring, managing, and scaling droom production databases, implement sharding, clustering, load balancing to deliver world class scalability, performance and reliability. You will be working with engineers, architects, infrastructure teams, testing teams and senior management. An ideal candidate will possess following: 4+ years of experience supporting MySQL (version higher than 5.1) on Linux. Experience setting up and managing No-SQL databases like MongoDB (Mandatory). Experience with MySQL monitoring tools Ability to work with others groups to design and implement distributed MySQL architecture that will support performance and scalability needs. Actively administered several production MySQL servers in a high-traffic and distributed OLTP environment, with a mix of masters and slaves replication. Strong knowledge and experiences in setting up and administering MySQL replication. Strong knowledge of MySQL backup, recovery and upgrade procedures. Help identify slow queries and suggesting alternatives. Basic knowledge of MySQL performance tuning at the MySQL server configuration level as well as SQL tuning. Have written moderately complex Linux/Unix shell scripts utilizing built-in shell variables, regular expressions, conditional expressions, functions. Working knowledge of Linux/Unix tools. Engineering Graduate or Equivalent Qualification.",Droom,2 months ago
Lead – Network Operations Engineer,"Want to be part of the most disruptive, innovative mobile commerce start-up in India with world-class team, long-term vision, and top global investors backing it up? Don’t just dream it. droom it ! As Lead Network Operations Engineer, you will be responsible for implementing systems for monitoring, managing and troubleshooting droom production infrastructure. As an engineering resource at droom, you will work on new challenges on daily basis, you will focus on problem solving, and you will interact with our Silicon Valley based technology team on a regular basis. We will operate in world-class and very fast-paced engineering environment and you will be learning new things and making huge impact at the same time. An ideal candidate will possess following: Worked as a Network Operation Engineer in the 24/7/365 operation. Experience in Enterprise environments familiar with monitoring, alarm validation, escalation & 1st pass resolution. Should have proven experience with one or more System Monitoring and Management tool. Strong understanding of LINUX operating systems. Exhibit strong team work qualities. Provide system monitoring, analysis and reporting for an enterprise infrastructure using inbuilt and other open source technologies. Extremely good communications and interpersonal skills Excellent verbal and written communication skills. Result oriented and ready to take ownership. Engineering or equivalent and 3-6 years of experience In Network Operations.",Milaap.org,2 months ago
Analyst – DevOps,"Want to be part of the most disruptive, innovative mobile commerce start-up in India with world-class team, long-term vision, and top global investors backing it up? Don’t just dream it. droom it ! As DevOps Analyst, you will be responsible for implementing systems for monitoring, managing and troubleshooting droom production infrastructure. You will also be responsible for deploying code to production and test environments. As an engineering resource at droom, you will work on new challenges on daily basis, you will focus on problem solving, and you will interact with our Silicon Valley based technology team on a regular basis. We will operate in world-class and very fast-paced engineering environment and you will be learning new things and making huge impact at the same time. An ideal candidate will possess following: Worked as a Network Operation or DevOps Engineer in the 24/7/365 operation. Experience managing LAMP Stack, Load Balancers, Proxy Servers, No SQL Servers. Experience with mongodb and PHP platforms like laraval is a plus Experience in Enterprise environments familiar with monitoring, alarm validation, escalation & 1st pass resolution. Should have proven experience with one or more System Monitoring and Management tool. Strong understanding of LINUX operating systems. Exhibit strong team work qualities. Provide system monitoring, analysis and reporting for an enterprise infrastructure using inbuilt and other open source technologies. Extremely good communications and interpersonal skills Excellent verbal and written communication skills. Result oriented and ready to take ownership. Engineering or equivalent and 2-4 years of experience In Network Operations or DevOps.",Droom,1 week ago
iOS Developer,"Want to be part of the most disruptive, innovative mobile commerce start-up in India with world-class team, long-term vision, and top global investors backing it up? Don’t just dream it. droom it ! As a developer, you will be responsible for developing some of the innovative and cutting edge, highly scalable applications on IOS. As an engineering resource at droom, you will work on new challenges on daily basis, you will focus on problem solving, and you will interact with our Silicon Valley based technology team on a regular basis. We will operate in world-class and very fast-paced engineering environment and you will be learning new things and making huge impact at the same time. An ideal candidate will possess following: 2+ years of experience in developing highly interactive Apps on IOS. Experience in developing IOS apps to work with low bandwidth networks. Good understanding of objective C and COCOA Framework Knowledge of Swift is preferred. Having good knowledge of Human Interface guidelines. Knowledge about Storyboards, xibs and webview. Experience in working with remote data via REST and JSON. Experience in submitting application to iTunes Very good knowledge in concepts of data catching. Demonstrable experience in managing medium to large project and deliver it on time and quality. Must have passion for technologies and goes out of the way to keep updated with innovations in web technologies. Attention to detail and ability to conceptualize a concept. Full understanding in software development process and prior experience in Agile or Extreme programming Methodology. Extremely good communications and interpersonal skills. Ability to collaborate across departments. Result oriented and ready to take ownership. Desire to make impact and high work ethics. This role requires working directly with senior management team.",VIVO Healthcare,2 hours ago
Android Developer,"Want to be part of the most disruptive, innovative mobile commerce start-up in India with world-class team, long-term vision, and top global investors backing it up? Don’t just dream it. droom it ! As a developer, you will be responsible for developing some of the innovative and cutting edge, highly scalable applications on Android. As an engineering resource at droom, you will work on new challenges on daily basis, you will focus on problem solving, and you will interact with our Silicon Valley based technology team on a regular basis. We will operate in world-class and very fast-paced engineering environment and you will be learning new things and making huge impact at the same time. An ideal candidate will possess following: 2+ years of experience in developing highly interactive Apps on android. Experience in developing Android apps to work with low bandwidth networks. Strong understanding of user interface and UIX on android. Have knowledge of Core Java Experience in working with remote data via REST and JSON Demonstrable experience in managing medium to large project and deliver it on time and quality. Must have passion for technologies and goes out of the way to keep updated with innovations in web technologies. Attention to detail and ability to conceptualize a concept. Full understanding in software development process and prior experience in Agile or Extreme programming Methodology. Extremely good communications and interpersonal skills. Ability to collaborate across departments. Result oriented and ready to take ownership. Desire to make impact and high work ethics. This role requires working directly with senior management team.",mobME Solutions,1 week ago
Lead QA Engineer,"Want to be part of the most disruptive, innovative mobile commerce start-up in India with world-class team, long-term vision, and top global investors backing it up? Don’t just dream it. droom it ! As Lead QA Engineer, you will be responsible for developing manual and automated testing strategies, executing of test plans, mentor other members of QA team, developing management dashboards for reporting software quality metrics and trending. As an engineering resource at droom, you will work on new challenges on daily basis, you will focus on problem solving, and you will interact with our Silicon Valley based technology team on a regular basis. We will operate in world-class and very fast-paced engineering environment and you will be learning new things and making huge impact at the same time. An ideal candidate will possess following: Engineering/M.C.A in Computer Science or equivalent Experience in developing Android apps to work with low bandwidth networks. 3+ years of experience in testing, test methodologies and automation tools. Must have experience of open source test automation tools. Must 2+ years of hands-on experience in testing web applications, preferably implemented in PHP/Java. Knowledge of Databases and Knowledge of Networking Concepts is preferable. Knowledge of Linux Based User Command preferable. Excellent verbal and written communication skills. Experience with bug tracking systems like bugzilla, mantis, Jira, etc. Full understanding in software development process and prior experience in Agile or Extreme programming Methodology. Extremely good communications and interpersonal skills. Ability to collaborate across departments. Result oriented and ready to take ownership. Desire to make impact and high work ethics.",Droom,1 months ago
